EFF_DATE,NAV_ID,NAV_TYPE,STATE_CODE,CITY,COUNTRY_CODE,ALTITUDE,BRG,AIR_GND_CODE,CHK_DESC,ARPT_ID,STATE_CHK_CODE
2025/03/20,RIC,VORTAC,VA,RICHMOND,US,,344,G,0.9 NM ON TWY R BTWN TWY V AND TWY A.,RIC,VA
2025/03/20,RMG,VORTAC,GA,ROME,US,,348,G,11.5 NM AT INTERSECTION OF TWY 200' S OF TERMINAL BUILDING,RMG,GA
2025/03/20,RND,VORTAC,TX,UNIVERSAL CITY,US,,337,G,1 NM ON AER 15R.,RND,TX
2025/03/20,ROC,VOR/DME,NY,ROCHESTER,US,,98,G,ON TWY T BTN RAMP AND TWY F.,ROC,NY
2025/03/20,RZS,VORTAC,CA,SANTA BARBARA,US,,197,G,5.8 NM AT INTERSECTION OF TWY G & B.,SBA,CA
2025/03/20,SBY,VORTAC,MD,SALISBURY,US,,221,G,0.7 NM RUNUP PAD RY 5.,SBY,MD
2025/03/20,SJC,VOR/DME,CA,SAN JOSE,US,,125,G,1.4 NM ON RUNUP AREA TWY W AND D,SJC,CA
2025/03/20,SJT,VORTAC,TX,SAN ANGELO,US,,237,G,2.6 NM ON E EDGE OF RAMP IN FRONT OF ATCT.,SJT,TX
2025/03/20,SLI,VORTAC,CA,LOS ALAMITOS,US,,16,G,0.8 NM ON RUNUP AREA RWY 22R.,SLI,CA
2025/03/20,SLI,VORTAC,CA,LOS ALAMITOS,US,,28,G,1.1 NM ON RUNUP AREA RWY 22L.,SLI,CA
2025/03/20,SLI,VORTAC,CA,LOS ALAMITOS,US,,284,G,0.5 NM AT TWY C AT RWY 4R.,SLI,CA
2025/03/20,SLN,VORTAC,KS,SALINA,US,,180,G,7.8 NM ON TWY NORTH OF TWY 'E',SLN,KS
2025/03/20,SNS,VORTAC,CA,SALINAS,US,,247,G,0.4 INTERSECTION OF TWYS C AND D.,SNS,CA
2025/03/20,SPI,VORTAC,IL,SPRINGFIELD,US,,8,G,0.6 NM F RAMP BTN TWY F AND TWY E.,SPI,IL
2025/03/20,SPS,VORTAC,TX,WICHITA FALLS,US,,64,G,5.2 NM ON TWY K AER 15L.,SPS,TX
2025/03/20,SPS,VORTAC,TX,WICHITA FALLS,US,,68,G,4.7 NM ON TWY H RUNUP AREA RY 15R.,SPS,TX
2025/03/20,SPS,VORTAC,TX,WICHITA FALLS,US,,75,G,5.3 NM ON TWY G AER 33R.,SPS,TX
2025/03/20,SPS,VORTAC,TX,WICHITA FALLS,US,,93,G,5.5 NM ON TWY C RUNUP AREA RY 33L.,SPS,TX
2025/03/20,SPW,VOR/DME,IA,SPENCER,US,,316,G,.7 NM ON PAINTED CIRCLE ON TWY APCH END RY 12.,SPW,IA
2025/03/20,SRQ,VOR/DME,FL,SARASOTA/BRADENTON,US,,152,G,0.5 NM ON RUNUP AREA AT INTERSECTION OF TWYS C AND F.,SRQ,FL
2025/03/20,STC,VOR/DME,MN,ST CLOUD,US,,291,G,.5 NM RUNUP AREA AER 13.,STC,MN
2025/03/20,STT,VOR/DME,VI,CHARLOTTE AMALIE,US,,118,G,3.5 NM ON TWY N OF MAIN RAMP.,STT,VI
